App,Reviews
Facebook,78158306
WhatsApp Messenger,69119316
Instagram,66577313
Messenger â€“ Text and Video Chat for Free,56642847
Clash of Clans,44891723
Clean Master- Space Cleaner & Antivirus,42916526
Subway Surfers,27722264
YouTube,25655305
"Security Master - Antivirus, VPN, AppLock, Booster",24900999
Clash Royale,23133508
Candy Crush Saga,22426677
UC Browser - Fast Download Private & Secure,17712922
Snapchat,17014787
"360 Security - Free Antivirus, Booster, Cleaner",16771865
My Talking Tom,14891223
8 Ball Pool,14198297
DU Battery Saver - Battery Charger & Battery Life,13479633
BBM - Free Calls & Messages,12842860
Cache Cleaner-DU Speed Booster (booster & cleaner),12759663
Twitter,11667403
